Category,1-Week Ret (%),1-Month Ret (%),3-Months Ret (%),6-Months Ret (%),YTD Ret (%),1-Year Ret (%),3-Yrs Ret (%),5-Yrs Ret (%),10-Yrs Ret (%),Since Launch Ret (%)
Fund of Funds-Domestic-Hybrid,-0.95,2.37,3.87,12.29,4.65,24.22,14.29,12.45,11.81,12.73
Fund of Funds-Domestic-Gold,2.23,11.73,17.8,22.3,15.41,19.58,14.72,16.92,8.11,10.53
Fund of Funds-Overseas,-3.19,-0.93,4.79,12.83,2.18,16.41,1.26,8.16,6.01,7.37
Hybrid: Equity Savings,-0.72,1.32,2.7,7.41,3.02,16.06,9.51,8.83,8.28,8.17
Fund of Funds-Domestic-Gold and Silver,1.75,11.48,16.26,19.21,14.09,14.66,-,-,-,26.78
Equity: Thematic-International,-3.68,-1.79,4.45,12.01,1.99,13.47,2.1,9.46,8.92,9.78
Equity: Sectoral-FMCG,-0.93,-0.33,-5.06,-0.52,-5.72,13.12,17.31,12.67,13.79,16.36
Hybrid: Conservative,-0.62,0.73,2.32,6.42,2.6,12.36,8.87,7.95,8.5,8.66
Fund of Funds-Domestic-Debt,-0.28,0.7,2.51,6.33,2.99,12.03,10.08,10.31,8.03,7.5
Fund of Funds-Domestic-Silver,1.28,12.9,16.78,15.78,13.18,10.2,-,-,-,16
Hybrid: Arbitrage,0.15,0.78,2.02,3.8,2.52,7.56,5.3,5.02,5.87,5.64
Debt: Credit Risk,0.04,0.46,1.8,4.4,2.25,7.55,9.2,4.94,6.73,6.42
Debt: Floater,0.08,0.65,1.98,3.81,2.36,7.5,5.66,6.42,7.19,6.55
Debt: Long Duration,-0.41,-0.36,2.64,5.63,3.13,7.42,4.4,6.8,7.62,6.36
Debt: Money Market,0.14,0.73,1.96,3.7,2.35,7.2,5.45,5.74,6.7,6.34
Debt: Liquid,0.13,0.69,1.87,3.67,2.24,7.17,5.37,5.06,6.3,6.44
Debt: Low Duration,0.14,0.7,1.89,3.58,2.26,6.97,5.46,5.58,6.67,6.86
Debt: Ultra Short Duration,0.15,0.71,1.88,3.54,2.25,6.89,5.3,5.44,6.51,6.11
Debt: Gilt Fund with 10 year constant duration,-0.26,-0.02,1.75,4.69,2.08,6.8,4.43,7.12,8.46,7.33
Debt: Corporate Bond,-0.03,0.41,1.79,3.67,2.15,6.75,5.13,6.57,7.44,6.77
Debt: Overnight,0.12,0.55,1.63,3.33,1.96,6.71,5.13,4.67,5.77,5.01
Debt: Gilt,-0.31,-0.13,1.9,4.5,2.22,6.67,4.86,6.85,8.03,7.46
Debt: Banking and PSU,-0.03,0.4,1.8,3.69,2.16,6.66,5.09,6.53,7.23,6.54
Debt: Dynamic Bond,-0.28,-0.08,1.84,4.18,2.19,6.53,5.16,6.25,7.39,6.73
Debt: Medium Duration,-0.06,0.31,1.73,3.86,2.11,6.53,5.96,5.61,7.47,6.6
Debt: Short Duration,-0.01,0.43,1.69,3.66,2.05,6.5,5.39,5.94,6.92,6.72
Debt: Medium to Long Duration,-0.23,-,1.71,4.13,2.02,6.26,4.95,5.82,6.84,7.69
